encoder,opn,pre_type,use_llm_prior,use_cl,gpu,datetime,cl_weight,train_len,test_len,temperature,tau_hard,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,0,2026-05-07 09:18:31.415109,0.5,7,7,0.07,0.1,0.001,200,0.3779597878456116,0.28530728816986084,0.41419076919555664,0.5567765831947327,0.3401956558227539,0.24650658667087555,0.3730837106704712,0.5304571986198425,0.35314422845840454,0.25837743282318115,0.3876678943634033,0.5407000482082367,0.35907772183418274,0.2659069374203682,0.3936372399330139,0.5436168909072876
uvrgcn,sub,all,True,True,0,2026-05-07 11:27:38.834668,0.5,7,7,0.07,0.1,0.001,200,0.382339745759964,0.28625696897506714,0.42423009872436523,0.5677655935287476,0.34234654903411865,0.24623525142669678,0.3800027370452881,0.5324922204017639,0.35620951652526855,0.25851310789585114,0.39730024337768555,0.5483652353286743,0.3623431324958801,0.26624611020088196,0.40211641788482666,0.5501289069652557
uvrgcn,sub,all,True,True,0,2026-05-08 08:24:16.863896,0.5,7,7,0.07,0.1,0.001,200,0.38641655445098877,0.29032695293426514,0.42314475774765015,0.5757699012756348,0.35129526257514954,0.25356125831604004,0.3916700780391693,0.5425315499305725,0.3618563115596771,0.26231177896261215,0.40333741903305054,0.557183563709259,0.36885589361190796,0.2719441056251526,0.40740741789340973,0.5591507256031036
uvrgcn,sub,all,True,True,0,2026-05-13 11:17:49.838133,0.5,10,10,0.07,0.1,0.001,200,0.3816753625869751,0.2888346314430237,0.4155474305152893,0.5714285969734192,0.34708014130592346,0.25057658553123474,0.3859720528125763,0.5366978645324707,0.3584713339805603,0.2619047686457634,0.39519742131233215,0.552028238773346,0.3643777370452881,0.2697056084871292,0.4007597416639328,0.554063230752945
uvrgcn,sub,all,True,True,0,2026-05-14 08:33:50.076490,0.5,7,7,0.07,0.1,0.001,200,0.3472614884376526,0.24976259469985962,0.3859720528125763,0.5422602295875549,0.30564767122268677,0.20675621926784515,0.34771403670310974,0.5011531710624695,0.3216800093650818,0.22290056943893433,0.36134853959083557,0.5196038633584976,0.3264545798301697,0.2282594069838524,0.366843044757843,0.5217067003250122
uvrgcn,sub,all,True,True,0,2026-05-15 04:39:43.754227,0.5,7,7,0.07,0.1,0.001,200,0.3833601474761963,0.28707095980644226,0.4257224500179291,0.5721068978309631,0.3438303768634796,0.248134583234787,0.38149505853652954,0.5406322479248047,0.3576585054397583,0.2599375993013382,0.39906391501426697,0.5529100894927979,0.36359524726867676,0.2676027715206146,0.4036087542772293,0.5563695728778839
uvrgcn,sub,all,True,True,0,2026-05-20 13:25:13.491787,0.5,7,7,0.07,0.1,0.001,200,0.3550744950771332,0.26821327209472656,0.38732874393463135,0.5250305533409119,0.31390345096588135,0.22642789781093597,0.3444580137729645,0.4860941767692566,0.3293566405773163,0.24040158092975616,0.36155204474925995,0.5042735189199448,0.33448898792266846,0.24732058495283127,0.3658933788537979,0.5055623650550842
uvrgcn,sub,all,True,True,0,2026-05-22 02:15:24.684832,0.5,7,7,0.07,0.1,0.001,200,0.355342835187912,0.26251527667045593,0.38637906312942505,0.545651912689209,0.32342788577079773,0.2291412353515625,0.3582960367202759,0.5121421813964844,0.33414581418037415,0.2389092519879341,0.36826755106449127,0.5260480642318726,0.33938536047935486,0.24582825601100922,0.37233754992485046,0.5288970470428467
uvrgcn,sub,all,True,True,0,2026-05-22 10:57:01.618784,0.5,7,7,0.07,0.1,0.001,200,0.3673006594181061,0.2748609483242035,0.4018450975418091,0.5508072376251221,0.32421571016311646,0.23144757747650146,0.35571837425231934,0.5125492215156555,0.34074825048446655,0.24664226174354553,0.37437255680561066,0.5294397175312042,0.34575819969177246,0.2531542629003525,0.3787817358970642,0.5316782295703888
uvrgcn,sub,all,True,True,0,2026-05-24 02:42:07.648308,0.5,7,7,0.07,0.1,0.001,200,0.03873565047979355,0.03663003817200661,0.03663003817200661,0.037851039320230484,0.03483238443732262,0.032695699483156204,0.03391670063138008,0.03445936739444733,0.03677981346845627,0.034662868827581406,0.035273369401693344,0.036155203357338905,0.03678401559591293,0.034662868827581406,0.035273369401693344,0.036155203357338905
